pre.reason,post.reason
"Vadare is a rival country that has past history with cyber-attacks and stands to benefit from disrupting our election system. Using evidence from past attacks on our air control system, it is logical to believe that they would have the potential to attack the voting system. It can also be seen how Vidare would gain if a leader won that was in favor of Vadare.","I would still stay with leaning the attack on Vadare, but would have to further investigate the Cyber attack group and see if it could at all be traced back to the group rather than Vadare. The difficult part would be if citizens of Vadare are also part of the Cyber-attack group."
"It makes sense that the cyber-attack most likely came from Vadare. If Vadare had been intentionally antagonistic towards my country in the months preceding the election, it would be easy to assume that a cyber-attack would another antagonistic action Vadare would be capable of. Since Vadare has also made it clear that they wish for a conservative candidate to be elected in my country, they may have planned the cyber-attack in an attempt to make the election of a conservative candidate more likely. However, I would not want to rule out the possibility of another country being behind the cyber-attack. Another country might be behind the cyber-attack and will assume that I will automatically blame Vadare since they have been blatant with their disagreements toward my country. It would be easy to hide behind the spectacle Vadare has already made. I would want to keep this possibility in mind while exploring all options because I wouldn't want to leave my country open to an unsuspecting attack because I am too focused on Vadare. ","I do not think that this new information rules out Vadare completely. This group could have been possibly hired or paid by Vadare to perform the cyber-attack. Vadare may wanted to have a second-hand group enact the cyber-attack so that it would not be linked directly back to them. Vadare may assume that my country would find out about the group's doing and dismiss the cyber-attack as a prank, but I would still remain vigilant. "
It's clear from the evidence presented that they are  behind the attacks.  In addition they have the most to gain from inspiring instability in our government.  Thus the conclusion that they  are responsible is entirely reasonable.,Given the new information it's not so clear.  it's very possible this anarchist group is making it appear that the Vadare are behind the attacks in order to throw us off or create chaos.  At the same time it's possible that Vadare is using this groups reputation or the group themselves to commit the cyber hacking.
"Our intelligence community said that it is from Vadare, and there inflammatory nature towards our boarder seems to support this. Considering other intrusions that they have made at our boarder and statements made by the present of Vadare, it seems to fit in line with their agenda. They are also seem to have a pattern of ignoring the value of human life, as with this air traffic control attack. ","Without more proof, it is dangerous to say that Vadere mounted these attacks. If it is also (perhaps equally) possible that CyperChaosCrew did this, we should not be quick to assign blame to Vadare. Besides, the disruption of ATC is more dangerous and should be investigated more thoroughly, anyway. That needs our attention more. "
"Well, the attack has been traced back to computers used by the Vadare Gov. However, unless the computers are currently within the Vadare Gov and have been operated specifically by Vadare Gov. officials, it cannot be 100% ascertained that the attack was definitely on the orders of the Vadare Gov. It could have been initiated by independent Vadare citizens. There is also a small chance it could be a frame-up to inflame the situation between the two countries.","There is still the issue that the attack was traced back to Vadare Gov. computers.  Although the hacker group likely infiltrated the Vadare Gov. network, it cannot be completely ruled out the the Vadare Gov. either 1) allowed the attack to go ahead/approached the hacker group or 2) that there are independent elements of the Vadare Gov. that are affiliated with the hacker group and thus instigated the attack."
"I wouldn't put 100% trust it was Vadare, they could have been set up.  I would prefer to keep all options until I had evidence pointing that it was definitley Vadare.",I'm not 100% sure it was Vadare or the cyber company so I would keep my options open regarding pointing fingers.
"The attack was traced to government computers from Vadare. However, this does not mean that they are responsible; an attack could have been made to look like it came from there, or it could have been conducted without the Vadare govenrment's approval. However, given the trace and Vadare's prior behavior, they are a likely suspect.",The new information makes it more probable that the attack came from actors other than the Vadare government.
"No  proof  was provided (e.g. reliable sources, industry experts). The vignette was statements implied to be fact. Other alternatives did not seem to have been investigated and ruled out. I don't know much about the countries and there relationships with other countries (are there other countries?). ",Forensic evidence sounds factual improving the integrity of the evidence and possibly contradicting the initial statement. I know nothing of the hacker group or it's possible ties to Vadare. As such I would feel less confident that Vadare was responsible for the cyber-attack. I would also feel that Vadare may be being used as a scapegoat.
The National Security organisation should have access to the tools necessary to investigate such issues. As director I would expect them to provide me full and correct information about what they've found. I've been given no reason to question them.,There's more doubt now about the source of the problems but I don't remember reading anything in the first information that said it was the tools themselves that had been the sole reason to accuse the Valderans. I would expect there to be a wider range of information that would lead to the organisation telling me they were to blame. So without more detail I moved just one step nearer not confident. 
"It's all circumstantial, no proof.","As before, it's all hearsay. Without any real proof it means nothing."
There has been previous and they do not like us ,There's a different company that has been doing it a lot recently 
One Vadare was identified as the proponent of this cyber attack and it is one of Vadare's modus.,This adds another level of complexity to the analysis. Still focused on Vadadre due to the past history but this new group does need to be investigated also to determine if they had any hand in the cyber attack.
We are in dispute with Vadare and they have history of intruding in their neighbours affairs.  they support a far right candidate over the current government,"There is a known hacktivist group that has been hacking into computers in the last 12 months, so it could be them not Vadare but not sure one or the other"
"Anyone capable of pulling off a sophisticated cyber-attack on a large scale is capable of masking the origins of the attack. This will take more effort, but it can be done. In fact, cyber-attacks are one of the best ways to engage in a  false flag  attack.  In this scenario, it is quite reasonable to think of reasons why others might wish to initiate a cyber-attack and have it attributed to Vadare.   For instance, the political opponents of the  far right  candidate might be completely corrupt, and they might have selected a very poor and unpopular candidate to represent them, and so they might think that concocting a fake attack by Vadare might turn the people against the  far right  candidate.  That is an option that has at least some plausibility.","If the tools are known to be used by the CyberChaosCrew, then they most likely did the attack, or someone tried to make it look like they did. It is not entirely clear why Vadare would perform the attack and try to pin it on this group. Perhaps Vadare is aiming to sow chaos, but it might seem that they would do better at this by making the attack look like it comes from multiple sources. Or perhaps they would gain by creating confusion as to who is doing the attack. Vadare is an option, but it seems more likely that CyberChaosCrew did it themselves."
"I would need to see the evidence, however, if a governing body has managed to trace this back to Vadare then I cannot argue with the evidence.  As I am not 100% confident, I would want to put another investigation in place by a different, independent body to check that they came to the same conclusions.  Assuming they do, I would then use this evidence to be  very confident .  If the second investigation was not conclusive, I would not be quite as confident in the cyber-attack.  Although Vadare has far right tendencies, I would not use these to cloud my judgement over the cyber attack.","I have no reason to doubt the evidence if it conclusively pointed to Vadare.  The new information regarding the cyber attack crew would not have any impact on the evidence.  I would, however, want an investigation into the cyber attack crew to see if any of their traits were present.  As before, I would want another independent investigation to be carried out."
